sample	reads_generated	aligned_reads	percentage_reads_aligned	median_depth_coverage	coverage_breadth	included_final_dataset
B19V_Brazil_RS_03_2017	1,053,192	1,053,019	99.98%	7,391	100.00%	yes
B19V_Brazil_RS_04_2021	72,070	67,618	93.82%	0	50.31%	no
B19V_Brazil_RS_06_2021	35,588	22,777	64.00%	0	31.58%	no
B19V_Brazil_RS_07_2017	465,098	464,480	99.87%	5,995	97.96%	yes
B19V_Brazil_RS_1097_2018	572,098	570,517	99.72%	3,123	96.84%	yes
B19V_Brazil_RS_11_2017	783,688	783,435	99.97%	4,251	97.18%	yes
B19V_Brazil_RS_1154_2018	627,458	626,883	99.91%	7,417	97.25%	yes
B19V_Brazil_RS_123_2017	1,142,562	1,142,374	99.98%	21,351	100.00%	yes
B19V_Brazil_RS_123_2018	1,428,396	1,427,974	99.97%	22,643	100.00%	yes
B19V_Brazil_RS_126_2018	1,144,098	1,143,989	99.99%	12,689	100.00%	yes
B19V_Brazil_RS_142_2016	972,612	970,738	99.81%	12,578	98.82%	yes
B19V_Brazil_RS_15_2017	1,213,538	1,213,089	99.96%	4,742	99.75%	yes
B19V_Brazil_RS_157_2015	1,333,612	1,333,400	99.98%	5,988	97.39%	yes
B19V_Brazil_RS_160_2015	836,268	834,665	99.81%	9,598	99.96%	yes
B19V_Brazil_RS_172_2021	41,426	25,371	61.24%	9	64.12%	no
B19V_Brazil_RS_176_2015	1,289,673	1,288,770	99.93%	8,315	100.00%	yes
B19V_Brazil_RS_176_2020	881,688	879,130	99.71%	905	94.84%	yes
B19V_Brazil_RS_197_2022	11,744	9,792	83.38%	1	54.67%	no
B19V_Brazil_RS_21_2017	724,900	724,678	99.97%	10,095	99.11%	yes
B19V_Brazil_RS_215_2015	977,370	977,082	99.97%	16,616	100.00%	yes
B19V_Brazil_RS_25_2021	588,826	232,812	39.54%	63	67.30%	no
B19V_Brazil_RS_258_2016	283,572	280,752	99.01%	2,007	97.53%	yes
B19V_Brazil_RS_299_2022	953,648	941,232	98.70%	1,975	83.06%	yes
B19V_Brazil_RS_30_2016	982,958	982,643	99.97%	10,122	97.61%	yes
B19V_Brazil_RS_300_2022	222,170	222,106	99.97%	1,461	93.07%	yes
B19V_Brazil_RS_313_2020	405,798	405,684	99.97%	2,375	97.93%	yes
B19V_Brazil_RS_314_2017	1,055,720	1,055,461	99.98%	16,295	98.98%	yes
B19V_Brazil_RS_322_2017	961,550	961,379	99.98%	11,959	97.52%	yes
B19V_Brazil_RS_364_2017	1,586,328	1,586,148	99.99%	12,710	99.75%	yes
B19V_Brazil_RS_366_2020	1,145,318	1,145,189	99.99%	12,677	99.37%	yes
B19V_Brazil_RS_40_2017	905,004	904,771	99.97%	12,132	99.20%	yes
B19V_Brazil_RS_406_2016	275,208	273,565	99.40%	119	58.38%	no
B19V_Brazil_RS_410_2017	1,071,788	1,071,659	99.99%	4,862	97.75%	yes
B19V_Brazil_RS_438_2016	601,082	600,947	99.98%	1,084	98.18%	yes
B19V_Brazil_RS_46_2017	804,814	804,571	99.97%	7,356	98.61%	yes
B19V_Brazil_RS_478_2017	1,603,050	1,602,787	99.98%	7,474	98.96%	yes
B19V_Brazil_RS_497_2016	1,046,834	1,046,590	99.98%	2,487	97.52%	yes
B19V_Brazil_RS_509_2017	1,064,720	1,064,617	99.99%	16,360	100.00%	yes
B19V_Brazil_RS_51_2022	222,650	191,467	85.99%	143	70.86%	yes
B19V_Brazil_RS_55_2022	64,006	51,617	80.64%	2	45.28%	no
B19V_Brazil_RS_562_2016	1,057,204	1,056,810	99.96%	10,755	97.68%	yes
B19V_Brazil_RS_567_2016	1,596,430	1,596,122	99.98%	3,039	98.64%	yes
B19V_Brazil_RS_604_2016	1,270,424	804,266	63.31%	2,543	98.57%	yes
B19V_Brazil_RS_605_2016	714,388	713,287	99.85%	5,673.5	97.41%	yes
B19V_Brazil_RS_608_2016	926,904	926,740	99.98%	5,289	99.96%	yes
B19V_Brazil_RS_623_2016	964,918	964,720	99.98%	12,865	98.16%	yes
B19V_Brazil_RS_641_2016	894,632	894,567	99.99%	8,502	98.95%	yes
B19V_Brazil_RS_65_2022	612,568	612,195	99.94%	139	70.14%	yes
B19V_Brazil_RS_661_2016	1,213,600	1,213,371	99.98%	9,454	98.64%	yes
B19V_Brazil_RS_670_2016	1,419,338	1,418,677	99.95%	9,219	100.00%	yes
B19V_Brazil_RS_681_2016	1,102,752	1,102,372	99.97%	11,997	99.87%	yes
B19V_Brazil_RS_701_2016	798,150	797,982	99.98%	5,255	98.98%	yes
B19V_Brazil_RS_709_2016	628,524	627,987	99.91%	1,673	96.87%	yes
B19V_Brazil_RS_714_2016	634,596	633,820	99.88%	1,481	94.84%	yes
B19V_Brazil_RS_D52878_2024	4,384	4,234	96.58%	0	27.82%	no
negative_control	2,940	2,640	89.80%	0	4.91%	no
