accessionVersion	sampleCollectionDate	geoLocCountry	geoLocAdmin1	geoLocAdmin2	dataUseTerms	source
FJ591158.1	2008	USA			OPEN	NCBI
FN598217.1	2002-02-22	Belgium			OPEN	NCBI
JN211121.1	2006-01	Netherlands			OPEN	NCBI
JN211122.1	2009-02	Netherlands			OPEN	NCBI
JN211123.1	2004-04	Netherlands			OPEN	NCBI
JN211124.1	2009-01	Netherlands			OPEN	NCBI
JN211125.1	2003-03	Netherlands			OPEN	NCBI
JN211126.1	2009-02	Netherlands			OPEN	NCBI
JN211127.1	2003-04	Netherlands			OPEN	NCBI
JN211128.1	2006-03	Netherlands			OPEN	NCBI
JN211129.1	2004-01	Netherlands			OPEN	NCBI
JN211130.1	2003-07	Netherlands			OPEN	NCBI
JN211131.1	2006-02	Netherlands			OPEN	NCBI
JN211132.1	2006-02	Netherlands			OPEN	NCBI
JN211133.1	2009-03	Netherlands			OPEN	NCBI
JN211134.1	2004-07	Netherlands			OPEN	NCBI
JN211135.1	2008-07	Netherlands			OPEN	NCBI
JN211136.1	2008-06	Netherlands			OPEN	NCBI
JN211137.1	2009-05	Netherlands			OPEN	NCBI
JN211138.1	2003-12	Netherlands			OPEN	NCBI
JN211139.1	2003-12	Netherlands			OPEN	NCBI
JN211140.1	2009-04	Netherlands			OPEN	NCBI
JN211141.1	2006-06	Netherlands			OPEN	NCBI
JN211142.1	2009-04	Netherlands			OPEN	NCBI
JN211143.1	2006-04	Netherlands			OPEN	NCBI
JN211144.1	2004-02	Netherlands			OPEN	NCBI
JN211145.1	2006-03	Netherlands			OPEN	NCBI
JN211146.1	2009-05	Netherlands			OPEN	NCBI
JN211147.1	2006-06	Netherlands			OPEN	NCBI
JN211148.1	2008-05	Netherlands			OPEN	NCBI
JN211149.1	2004-11	Netherlands			OPEN	NCBI
JN211150.1	2004-03	Netherlands			OPEN	NCBI
JN211151.1	2004-04	Netherlands			OPEN	NCBI
JN211152.1	2009-05	Netherlands			OPEN	NCBI
JN211153.1	2004-06	Netherlands			OPEN	NCBI
