strain	date	country	division	location	host	authors	source
PX404556.1	2016-05-12	Honduras			human	Yamaguchi et al	NCBI
PX404555.1	2016-04-27	Honduras			human	Yamaguchi et al	NCBI
PX404554.1	2017-04-15	France			human	Yamaguchi et al	NCBI
PX404553.1	2016-03-21	France			human	Yamaguchi et al	NCBI
PX404552.1	2015-12-02	France			human	Yamaguchi et al	NCBI
PX404551.1	2015-09-07	France			human	Yamaguchi et al	NCBI
PX404550.1	2016-09-02	Mauritius			human	Yamaguchi et al	NCBI
PX404549.1	2015-10-16	Mauritius			human	Yamaguchi et al	NCBI
PX404548.1	2015-12-28	Mauritius			human	Yamaguchi et al	NCBI
PX404547.1	2013-03-11	Mauritius			human	Yamaguchi et al	NCBI
PX404546.1	2015-10-16	Mauritius			human	Yamaguchi et al	NCBI
PZ012664.1	2024-06-04	France			human	N'Debi et al	NCBI
PZ012663.1	2024-02-02	France			human	N'Debi et al	NCBI
PZ012662.1	2024-09-27	France			human	N'Debi et al	NCBI
PZ012661.1	2024-04-18	France			human	N'Debi et al	NCBI
PZ012660.1	2024-06-03	France			human	N'Debi et al	NCBI
PZ012659.1	2024-06-26	France			human	N'Debi et al	NCBI
PZ012658.1	2024-03-08	France			human	N'Debi et al	NCBI
PZ012657.1	2024-05-30	France			human	N'Debi et al	NCBI
PZ012656.1	2024-05-07	France			human	N'Debi et al	NCBI
PZ012655.1	2024-04-11	France			human	N'Debi et al	NCBI
PZ012654.1	2024-06-20	France			human	N'Debi et al	NCBI
PZ012653.1	2024-03-21	France			human	N'Debi et al	NCBI
PZ012652.1	2025-01-08	France			human	N'Debi et al	NCBI
PZ012651.1	2024-10-28	France			human	N'Debi et al	NCBI
PZ012650.1	2024-10-21	France			human	N'Debi et al	NCBI
PZ012649.1	2024-10-15	France			human	N'Debi et al	NCBI
PZ012648.1	2024-09-23	France			human	N'Debi et al	NCBI
PZ012647.1	2024-08-26	France			human	N'Debi et al	NCBI
PZ012646.1	2024-08-27	France			human	N'Debi et al	NCBI
PZ012645.1	2024-08-01	France			human	N'Debi et al	NCBI
PZ012644.1	2024-07-15	France			human	N'Debi et al	NCBI
PZ012643.1	2024-07-08	France			human	N'Debi et al	NCBI
PZ012642.1	2024-06-26	France			human	N'Debi et al	NCBI
PZ012641.1	2024-06-17	France			human	N'Debi et al	NCBI
PZ012640.1	2024-06-12	France			human	N'Debi et al	NCBI
PZ012639.1	2024-06-12	France			human	N'Debi et al	NCBI
PZ012638.1	2024-06-10	France			human	N'Debi et al	NCBI
PZ012637.1	2024-06-09	France			human	N'Debi et al	NCBI
PZ012636.1	2024-05-27	France			human	N'Debi et al	NCBI
PZ012635.1	2024-04-28	France			human	N'Debi et al	NCBI
PZ012634.1	2024-04-29	France			human	N'Debi et al	NCBI
PZ012633.1	2024-04-27	France			human	N'Debi et al	NCBI
PZ012632.1	2024-04-25	France			human	N'Debi et al	NCBI
PZ012631.1	2024-04-16	France			human	N'Debi et al	NCBI
PZ012630.1	2024-04-08	France			human	N'Debi et al	NCBI
PZ012629.1	2024-03-25	France			human	N'Debi et al	NCBI
PZ012628.1	2024-03-19	France			human	N'Debi et al	NCBI
PZ012627.1	2024-03-07	France			human	N'Debi et al	NCBI
PZ012626.1	2024-03-04	France			human	N'Debi et al	NCBI
PZ012625.1	2024-02-23	France			human	N'Debi et al	NCBI
PZ012624.1	2024-02-22	France			human	N'Debi et al	NCBI
PZ012623.1	2024-02-20	France			human	N'Debi et al	NCBI
PZ012622.1	2024-02-16	France			human	N'Debi et al	NCBI
PZ012621.1	2024-02-13	France			human	N'Debi et al	NCBI
PZ012620.1	2024-01-22	France			human	N'Debi et al	NCBI
PZ012619.1	2024-01-22	France			human	N'Debi et al	NCBI
PZ012618.1	2024-01-17	France			human	N'Debi et al	NCBI
PZ012617.1	2024-01-15	France			human	N'Debi et al	NCBI
PZ012616.1	2024-01-15	France			human	N'Debi et al	NCBI
PZ012615.1	2024-01-12	France			human	N'Debi et al	NCBI
PZ012614.1	2024-01-11	France			human	N'Debi et al	NCBI
PZ012613.1	2024-01-08	France			human	N'Debi et al	NCBI
PZ012612.1	2024-01-05	France			human	N'Debi et al	NCBI
PZ012611.1	2024-01-04	France			human	N'Debi et al	NCBI
PZ012610.1	2023-12-17	France			human	N'Debi et al	NCBI
PZ012609.1	2023-11-30	France			human	N'Debi et al	NCBI
PZ012608.1	2023-11-24	France			human	N'Debi et al	NCBI
PZ012607.1	2023-11-10	France			human	N'Debi et al	NCBI
PZ012606.1	2023-11-11	France			human	N'Debi et al	NCBI
PZ012605.1	2023-11-08	France			human	N'Debi et al	NCBI
PZ012604.1	2023-10-25	France			human	N'Debi et al	NCBI
PZ012603.1	2023-10-17	France			human	N'Debi et al	NCBI
PZ012602.1	2023-10-11	France			human	N'Debi et al	NCBI
PZ012601.1	2023-09-21	France			human	N'Debi et al	NCBI
PZ012600.1	2023-09-20	France			human	N'Debi et al	NCBI
PZ012599.1	2023-09-19	France			human	N'Debi et al	NCBI
PZ012598.1	2023-09-04	France			human	N'Debi et al	NCBI
PZ012597.1	2023-08-25	France			human	N'Debi et al	NCBI
PZ012596.1	2023-08-23	France			human	N'Debi et al	NCBI
PZ012595.1	2023-08-10	France			human	N'Debi et al	NCBI
PZ012594.1	2023-08-07	France			human	N'Debi et al	NCBI
PZ012593.1	2023-07-18	France			human	N'Debi et al	NCBI
PZ012592.1	2023-07-07	France			human	N'Debi et al	NCBI
PZ012591.1	2023-07-05	France			human	N'Debi et al	NCBI
PZ012590.1	2023-07-03	France			human	N'Debi et al	NCBI
PZ012589.1	2023-06-26	France			human	N'Debi et al	NCBI
PZ012588.1	2023-06-26	France			human	N'Debi et al	NCBI
PZ012587.1	2023-06-06	France			human	N'Debi et al	NCBI
PZ012586.1	2023-05-23	France			human	N'Debi et al	NCBI
PZ012585.1	2023-05-22	France			human	N'Debi et al	NCBI
PZ012584.1	2023-05-10	France			human	N'Debi et al	NCBI
PZ012583.1	2023-05-01	France			human	N'Debi et al	NCBI
PZ012582.1	2023-03-27	France			human	N'Debi et al	NCBI
PZ012581.1	2023-02-16	France			human	N'Debi et al	NCBI
PZ012580.1	2019-07-16	France			human	N'Debi et al	NCBI
PZ012579.1	2019-07-08	France			human	N'Debi et al	NCBI
PZ012578.1	2018-04-10	France			human	N'Debi et al	NCBI
PZ012577.1	2017-12-14	France			human	N'Debi et al	NCBI
PZ012576.1	2017-07-27	France			human	N'Debi et al	NCBI
PX737896.1	2024-XX-XX	Greece			human	Giosi et al	NCBI
PX737895.1	2024-XX-XX	Greece			human	Giosi et al	NCBI
PX737894.1	2024-XX-XX	Greece			human	Giosi et al	NCBI
PX737893.1	2024-XX-XX	Greece			human	Giosi et al	NCBI
PX737892.1	2024-XX-XX	Greece			human	Giosi et al	NCBI
PX737891.1	2024-XX-XX	Greece			human	Giosi et al	NCBI
PX737890.1	2024-XX-XX	Greece			human	Giosi et al	NCBI
PX737889.1	2024-XX-XX	Greece			human	Giosi et al	NCBI
PX737888.1	2024-XX-XX	Greece			human	Giosi et al	NCBI
PX890980.1	2016-XX-XX	United Kingdom			human	Pochon et al	NCBI
PX890979.1	2016-XX-XX	United Kingdom			human	Pochon et al	NCBI
PX890978.1	2022-XX-XX	Sweden			human	Pochon et al	NCBI
PX647877.1	2024-08-01	Bulgaria			human	Trifonova et al	NCBI
PX647876.1	2024-06-11	Bulgaria			human	Trifonova et al	NCBI
PX647875.1	2024-08-11	Bulgaria			human	Trifonova et al	NCBI
PX647874.1	2024-07-08	Bulgaria			human	Trifonova et al	NCBI
PX647873.1	2024-07-23	Bulgaria			human	Trifonova et al	NCBI
PX647872.1	2024-07-18	Bulgaria			human	Trifonova et al	NCBI
PX647871.1	2024-06-27	Bulgaria			human	Trifonova et al	NCBI
PX610327.1	2025-XX-XX	USA	Illinois		human	Green et al	NCBI
PX610326.1	2025-XX-XX	USA	Illinois		human	Green et al	NCBI
PQ605424.1	2019-XX-XX	China	Jinan		human	Song et al	NCBI
PX246267.1	2025-07-10	China			human	Chen et al	NCBI
PX246266.1	2025-05-26	China			human	Chen et al	NCBI
PX246265.1	2025-02-24	China			human	Chen et al	NCBI
PX246264.1	2025-02-25	China			human	Chen et al	NCBI
